IDDIST;PROVINCIA;DISTRITO;antiguedad;nro_banios;nro_pisos;nro_cocheras;nro_dormitorios;estado_de_inmueble;precio_soles;latitud;longitud;area_constr_m2;area_total_m2
150108;Lima;Chorrillos;3;3;3;2;5+;Excelente;695000;-12.2171519;-76.9963609;523;600
150130;Lima;SanBorja;4;3;2;2;4;Muy bueno;345000;-12.08311611;-76.99637595;180;160
150132;Lima;SanJuanDeLurigancho;3;4;2;0;5+;;285000;-11.97679474;-76.99638497;500;500
150140;Lima;SantiagoDeSurco;3;5;3;2;5+;Bueno;580000;-12.1205043;-76.9963906;300;326
150130;Lima;SanBorja;3;5;3;5;5+;Muy bueno;720000;-12.08985662;-76.99648222;328;360
150130;Lima;SanBorja;4;3;3;4;4;A Remodelar;585000;-12.08793938;-76.9964959;265;300
150140;Lima;SantiagoDeSurco;5;3;2;1;3;Bueno;530000;-12.1431675;-76.9965157;245;301
150108;Lima;Chorrillos;2;5;2;5;5+;Bueno;480000;-12.22077212;-76.99652114;420;900
150134;Lima;SanLuis;3;4;3;2;5+;;550000;-12.07152649;-76.99656656;600;300
150103;Lima;Ate;3;4;3;1;5+;Muy bueno;380000;-12.0803382;-76.9966058;365;365
150130;Lima;SanBorja;3;4;2;2;4;Bueno;610000;-12.1028315;-76.9966913;321;300
150140;Lima;SantiagoDeSurco;3;3;3;1;3;;320000;-12.1228052;-76.9967739;186;91
150130;Lima;SanBorja;4;3;2;2;4;A Remodelar;415000;-12.08740169;-76.99677814;250;200
150132;Lima;SanJuanDeLurigancho;3;3;3;1;5+;;210000;-12.02256776;-76.9968426;350;350
150106;Lima;Carabayllo;9;2;2;4;4;Remodelado;149000;-12.1659633;-76.9968627;245;245
150130;Lima;SanBorja;3;3;2;2;3;Remodelado;650000;-12.10262123;-76.99696432;200;316
150140;Lima;SantiagoDeSurco;3;4;2;2;5+;Remodelado;530000;-12.1347355;-76.9969779;450;300
150140;Lima;SantiagoDeSurco;3;5;2;3;5+;Excelente;480000;-12.1229351;-76.9969996;400;400
150130;Lima;SanBorja;3;3;2;4;4;;550000;-12.08951794;-76.9970013;300;300
150140;Lima;SantiagoDeSurco;3;5;3;2;5+;Muy bueno;590000;-12.12027345;-76.99714582;280;196
150140;Lima;SantiagoDeSurco;1;4;3;2;4;Muy bueno;565000;-12.1396239;-76.99718709;262;296
150130;Lima;SanBorja;2;4;2;3;4;Muy bueno;550000;-12.1062744;-76.9972456;320;312
150132;Lima;SanJuanDeLurigancho;9;2;3;1;4;Bueno;110000;-11.95646757;-76.99727112;200;90
150134;Lima;SanLuis;3;5;3;3;5+;;430000;-12.0823655;-76.9973328;330;330
150134;Lima;SanLuis;4;4;3;1;4;Bueno;400000;-12.0823655;-76.9973328;279;160
150108;Lima;Chorrillos;1;5;2;4;5+;;750000;-12.2169099;-76.997427;400;600
150108;Lima;Chorrillos;5;4;3;1;4;;370000;-12.2169099;-76.997427;240;240
150108;Lima;Chorrillos;1;3;2;2;3;Excelente;330000;-12.2169099;-76.997427;210;360
150108;Lima;Chorrillos;9;4;1;4;3;;2900000;-12.2141087;-76.997427;370;2000
150108;Lima;Chorrillos;1;4;2;5;5+;;1980000;-12.2141087;-76.997427;400;2676
150108;Lima;Chorrillos;8;5;2;0;5+;;1400000;-12.2141087;-76.997427;540;1600
150108;Lima;Chorrillos;1;5;1;2;4;;1050000;-12.2141087;-76.997427;450;1520
150108;Lima;Chorrillos;1;5;2;2;5+;Bueno;700000;-12.2141087;-76.997427;432;1294
150130;Lima;SanBorja;3;3;3;3;4;;680000;-12.09749286;-76.99743435;380;319
150132;Lima;SanJuanDeLurigancho;4;4;2;1;5+;Bueno;230000;-12.02300845;-76.99758478;320;320
150130;Lima;SanBorja;3;4;2;3;4;Remodelado;750000;-12.09923776;-76.99760348;379;379
150140;Lima;SantiagoDeSurco;2;3;3;2;4;;425000;-12.1239916;-76.997607;264;178
150140;Lima;SantiagoDeSurco;3;2;2;2;4;Bueno;410000;-12.1267497;-76.997618;224;223
150130;Lima;SanBorja;3;3;3;2;5+;Muy bueno;377000;-12.10846266;-76.99762144;188;188
150130;Lima;SanBorja;3;3;3;2;5+;;610000;-12.102838;-76.997665;320;300
150140;Lima;SantiagoDeSurco;2;5;2;1;5+;Muy bueno;490000;-12.1283796;-76.9977397;400;265
150132;Lima;SanJuanDeLurigancho;3;4;4;0;5+;Muy bueno;170000;-12.02347321;-76.99778349;234;80
150132;Lima;SanJuanDeLurigancho;3;4;4;2;5+;Bueno;230000;-12.0160787;-76.9978211;328;135
150108;Lima;Chorrillos;4;3;2;2;3;;370000;-12.21981122;-76.99787145;240;300
150108;Lima;Chorrillos;2;4;2;4;5+;Bueno;470000;-12.220284;-76.99793667;620;900
150132;Lima;SanJuanDeLurigancho;4;3;2;1;5+;A Remodelar;220000;-12.023488;-76.9979448;254;160
150140;Lima;SantiagoDeSurco;3;5;5;1;5+;;285000;-12.162428;-76.997963;275;110
150130;Lima;SanBorja;3;3;3;2;4;Muy bueno;680000;-12.090288;-76.9980169;350;300
150140;Lima;SantiagoDeSurco;4;2;3;4;3;A Remodelar;770000;-12.1355638;-76.9980444;697;416
150140;Lima;SantiagoDeSurco;4;3;2;4;5+;A Remodelar;435000;-12.1355638;-76.9980444;450;300
150140;Lima;SantiagoDeSurco;2;5;4;3;5+;Muy bueno;380000;-12.1355638;-76.9980444;280;160
150108;Lima;Chorrillos;2;5;2;0;5+;Bueno;470000;-12.22025221;-76.99811982;620;900
150140;Lima;SantiagoDeSurco;1;4;2;4;3;Muy bueno;1800000;-12.13146;-76.998159;500;985
150140;Lima;SantiagoDeSurco;3;3;3;2;4;Bueno;550000;-12.13895521;-76.99818275;353;305
150130;Lima;SanBorja;3;3;3;2;5+;;378000;-12.10924299;-76.99818563;188;188
150140;Lima;SantiagoDeSurco;4;3;2;2;4;A Remodelar;760000;-12.1287812;-76.9982062;300;351
150140;Lima;SantiagoDeSurco;3;4;3;3;3;A Remodelar;650000;-12.1287812;-76.9982062;381;270
150140;Lima;SantiagoDeSurco;3;4;3;3;3;A Remodelar;650000;-12.1287812;-76.9982062;381;270
150140;Lima;SantiagoDeSurco;4;3;2;4;4;Muy bueno;500000;-12.1287812;-76.9982062;238;337
150140;Lima;SantiagoDeSurco;2;4;3;2;4;Muy bueno;440000;-12.1287812;-76.9982062;251;178
150140;Lima;SantiagoDeSurco;3;4;2;2;4;Muy bueno;410000;-12.12634859;-76.99839072;265;224
150140;Lima;SantiagoDeSurco;3;3;2;2;4;;680000;-12.122054;-76.99864;380;367
150140;Lima;SantiagoDeSurco;4;5;2;2;4;Bueno;450000;-12.122054;-76.99864;230;222
150140;Lima;SantiagoDeSurco;2;5;2;2;5+;Remodelado;550000;-12.1389819;-76.9986985;280;313
150140;Lima;SantiagoDeSurco;4;3;2;2;3;Muy bueno;525000;-12.13988929;-76.99880402;211;300
150140;Lima;SantiagoDeSurco;2;3;2;4;3;Remodelado;540000;-12.14027319;-76.998806;300;300
150140;Lima;SantiagoDeSurco;4;3;3;4;4;A Remodelar;435000;-12.1468279;-76.9988261;480;300
150130;Lima;SanBorja;2;5;3;2;5+;Remodelado;350000;-12.0914691;-76.9989122;264;176
150130;Lima;SanBorja;4;4;2;2;4;Bueno;750000;-12.1028353;-76.9990457;345;309
